comment_text;rain
La lluvia de sevilla es una maravilla;0
Parece que va a llover;1
¿Máñana lloverá?;1
Hará bueno el miércoles;0
Qué bueno que viniste;0
Bueno, yo no diría tanto;0
¿Lloverá esta tarde?;1
El miércoles lloverá en todas las provincias del país;0
Sí;0
No lo tengo muy claro;0
Hay lloviznas en el norte;0
Los días lluviosos no me gustan nada;0
Si llueve, cogeré el paragüas;0
Estaba pensando en ir a la playa mañana;0
El miércoles dan chubascos débiles;0
¿Habrá tormentas esta semana?;1
En Cordoba está nublado;0
Los tifones son un fenómeno meteorológico bastente peligrosos;0
El lunes voy a los Pirineos. Espero que no llueva;0
¿El sábado crees que lloverá?;1
¿Es posible que el domingo llueva?;1
¿Necesitaré coger el paragüas el viernes?;1
¿La semana que viene lloverá en Cuenca?;1
En Barcelona hace meses que no llueve;0
¿Lloverá la semana que viene?;1
Me han dicho que el lunes hará malo;0
¿Hará malo el lunes que viene?;1
¿Qué tiempo hará mañana?;0
Creo que lloverá pasado mañana;0
Si llueve el jueves, iré en coche al trabajo;0
Si no llueve, me iré de fin de semana a la playa;0
¿Lloverá en el Pirineo el fin de semana?;1
No sé si habrá que coger el chubasquero el martes;0
En la costa se preveen lluvias abundantes;0
Mi coche se estropeado por el granizo que ha caido;0
Han habido inundaciones en Jaén debido al temporal;0
La mona lisa ni es mona ni es lisa;0
A mi perro no le gusta nada la lluvia, porque se moja los pies;0
La lluvia de Bbarcelona no me gusta, es tropical;0
Cuando llueve en mi pueblo se inundan las carreteras;0
Si salgo en días de lluvia, acabo mojado;0
Llueve sobre mojado;0
Ayer llovió y me calé hasta los huesos;0
¿Lloverá el martes?;1
¿Sabes si va a llover el lunes?;1
¿Me podrías decir si lloverá el fin de semana?;1
¿Crees que lloverá el sábado por la tarde?;1
Hasta cuando llueve en Córdoba, la Alhambra se ve maravillosa;0
¡Qué tiempo más malo! Está lloviendo;0
No creo que salga esta tarde si se pone a llover;0
Sintiéndolo mucho, si llueve me quedo;0
¿Va a llover el miércoles por la mañana?;1
No lloverá el viernes;0
Es posible que el sábado caigan chuzos de punta;0
¿Lloverá esta semana?;1
¿Podrías decirme si mañana llueve?;1
¿Crees que el martes por la mañana lloverá?;1
¿Lloverá el jueves por la noche?;1
¿Lloverá el jueves por la mañana?;1
LLueve en París;0
No creo que llueva mañana;0
En Madrid no llave desde Marzo;0
Si llueve, me mojo;0
¡Madre mía cómo llueve!;0
Si llueve por la mañana, cogeré el metro;0
¿Lloverá hoy?;1
¿Lloverá esta tarde?;1
¿Lloverá durante las próximas horas?;1
Llueve sobre mojado;0
La lluvia es un fenómeno natural que ayuda a recircular el agua del mundo;0
A mi moto le entró agua ayer cuando llovió;0
¿Lloverá el lunes por la noche?;1
¿Lloverá el lunes por la tarde?;1
¿Lloverá el lunes por la mañana?;1
No tienes agua en el fregadero;0
Vaya la lluvia que cayó ayer;0
En el norte llueve mucho;0
Bilbao es muy lluvioso;0
¿Lloverá en Santander?;1
En Santander llueve a menudo;0
En Galicia hay lluvias constantes;0
¿Lloverá en Tenerife la semana que viene?;1
¿Lloverá en Vigo el martes?;1
¿Va a llover en Zaragoza el lunes que viene?;1
¿Va a llover mañana?;1
¿Va a llover en Barcelona el lunes por la tarde?;1
¿Vendrás mañana si llueve?;0
Si el martes llueve, ¿vendrás en tren?;0
Si mañana llueve se inundará el jardín;0
¿Cuánto llueve en verano?;0
¿Crees que va a llover mañana?;1
No iré al teatro si llueve mucho;0
El tejado de mi casa hace mucho ruido cuando llueve;0
Los terremotos no están ligados a la lluvia;0
¿Va a llover el fin de semana?;1
¿Va a llover el lunes por la tarde?;1
Cuando llueve, puede que haga mas frio;0
La lluvia constante hace bajar las temperaturas;0
Las lluvias de verano suelen ser tropicales;0
¿Lloverá mucho el sábado por la mañana?;1
¿Lloverá algo el viernes por la noche?;1
¿Habrá mucha lluvia el sábado?;1
¿Lloverá abundantemente la semana que viene?;1
¿Habrá chubascos el fin de semana?;1
¿Habrá tormentas el fin de semana?;1
¿El lunes será lluvioso?;1
No tenemos paragüas si llueve el sábado;0
¿Lloverá algo mañana?;1
¿Lloverá algo el lunes por la tarde?;1
¿Habrá lluvias el domingo?;1
¿Haremos algo el viernes si llueve?;0
El domingo habrá lluvias;0
El lunes será lluvioso;0
¿Lloverá en la playa mañana?;1
¿La semana que viene lloverá?;1
¿El viernes por la tarde lloverá?;1
¿El lunes por la mañana lloverá?;1
¿El jueves por la noche lloverá?;1
¿El viernes lloverá durante el día?;1
¿El fin de semana que viene lloverá?;1
¿El mes que viene lloverá?;1
¿Dime si lloverá mañana?;1
¿Sabes si el martes lloverá?;1
¿Dime si lloverá el fin de semana?;1
¿Mañana lloverá mucho?;1
¿El domingo por la mañana lloverá mucho?;1
¿El fin de semana lloverá mucho?;1
¿El fin de semana lloverá algo?;1
¿Habrá tomenta el fin de semana?;1
¿Dan lluvias para mañana?;1
¿Dan lluvias para el martes?;1
¿Dan lluvias para esta tarde?;1
¿Mañana lloverá en Bilbao?;1
¿El lunes lloverá en Manresa?;1
¿El jueves lloverá en Cuenca?;1